country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
FRA,discards,7E,3B,VEV,NONE,U10M,2015,
FRA,discards,7E,3B,VEV,NONE,O10T15M,2015,
BEL,discards,7E,3A,USK,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,USB,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,USB,NONE,O15M,2015,
ENG,discards,7E,TRAMMEL,USB,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,USB,NONE,O10T15M,2015,
FRA,discards,7E,POTS,USB,NONE,U10M,2015,
FRA,discards,7E,POTS,USB,NONE,O15M,2015,
FRA,discards,7E,POTS,USB,NONE,O10T15M,2015,
FRA,discards,7E,PEL_TRAWL,USB,NONE,O15M,2015,
FRA,discards,7E,PEL_TRAWL,USB,NONE,O10T15M,2015,
FRA,discards,7E,PEL_SEINE,USB,NONE,O15M,2015,
FRA,discards,7E,PEL_SEINE,USB,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,USB,NONE,U10M,2015,
FRA,discards,7E,OTTER,USB,NONE,O15M,2015,
FRA,discards,7E,OTTER,USB,NONE,O10T15M,2015,
FRA,discards,7E,NONE,USB,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,USB,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,USB,NONE,O15M,2015,
FRA,discards,7E,LONGLINE,USB,NONE,O10T15M,2015,
FRA,discards,7E,GILL,USB,NONE,U10M,2015,
FRA,discards,7E,GILL,USB,NONE,O15M,2015,
FRA,discards,7E,GILL,USB,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,USB,NONE,U10M,2015,
FRA,discards,7E,DREDGE,USB,NONE,O10T15M,2015,
FRA,discards,7E,3B,USB,NONE,U10M,2015,
FRA,discards,7E,3B,USB,NONE,O15M,2015,
FRA,discards,7E,3B,USB,NONE,O10T15M,2015,
FRA,discards,7E,3A,USB,NONE,O15M,2015,
FRA,discards,7E,3A,USB,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,URX,NONE,U10M,2015,
FRA,discards,7E,POTS,UCA,NONE,U10M,2015,
FRA,discards,7E,3B,UCA,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,TWL,NONE,U10M,2015,
FRA,discards,7E,DREDGE,TWL,NONE,O10T15M,2015,
FRA,discards,7E,TRAMMEL,TUR,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,TUR,NONE,O15M,2015,
ENG,discards,7E,TRAMMEL,TUR,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,TUR,NONE,O10T15M,2015,
ENG,discards,7E,TRAMMEL,TUR,NONE,O10T15M,2015,
FRA,discards,7E,POTS,TUR,NONE,U10M,2015,
ENG,discards,7E,POTS,TUR,NONE,U10M,2015,
FRA,discards,7E,POTS,TUR,NONE,O15M,2015,
FRA,discards,7E,POTS,TUR,NONE,O10T15M,2015,
ENG,discards,7E,POTS,TUR,NONE,O10T15M,2015,
FRA,discards,7E,PEL_TRAWL,TUR,NONE,O15M,2015,
FRA,discards,7E,PEL_TRAWL,TUR,NONE,O10T15M,2015,
FRA,discards,7E,PEL_SEINE,TUR,NONE,O15M,2015,
FRA,discards,7E,PEL_SEINE,TUR,NONE,O10T15M,2015,
NIR,discards,7E,OTTER,TUR,NONE,U10M,2015,
FRA,discards,7E,OTTER,TUR,NONE,U10M,2015,
ENG,discards,7E,OTTER,TUR,NONE,U10M,2015,
SCO,discards,7E,OTTER,TUR,NONE,O15M,2015,
IRL,discards,7E,OTTER,TUR,NONE,O15M,2015,
GBJ,discards,7E,OTTER,TUR,NONE,O15M,2015,
FRA,discards,7E,OTTER,TUR,NONE,O15M,2015,
ENG,discards,7E,OTTER,TUR,NONE,O15M,2015,
BEL,discards,7E,OTTER,TUR,NONE,O15M,2015,
GBG,discards,7E,OTTER,TUR,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,TUR,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,TUR,NONE,O10T15M,2015,
FRA,discards,7E,NONE,TUR,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,TUR,NONE,U10M,2015,
ENG,discards,7E,LONGLINE,TUR,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,TUR,NONE,O10T15M,2015,
ENG,discards,7E,LONGLINE,TUR,NONE,O10T15M,2015,
FRA,discards,7E,GILL,TUR,NONE,U10M,2015,
ENG,discards,7E,GILL,TUR,NONE,U10M,2015,0
FRA,discards,7E,GILL,TUR,NONE,O15M,2015,
ENG,discards,7E,GILL,TUR,NONE,O15M,2015,
FRA,discards,7E,GILL,TUR,NONE,O10T15M,2015,
ENG,discards,7E,GILL,TUR,NONE,O10T15M,2015,
NIR,discards,7E,DREDGE,TUR,NONE,U10M,2015,
FRA,discards,7E,DREDGE,TUR,NONE,U10M,2015,
ENG,discards,7E,DREDGE,TUR,NONE,U10M,2015,
SCO,discards,7E,DREDGE,TUR,NONE,O15M,2015,
FRA,discards,7E,DREDGE,TUR,NONE,O15M,2015,
ENG,discards,7E,DREDGE,TUR,NONE,O15M,2015,
BEL,discards,7E,DREDGE,TUR,NONE,O15M,2015,
NIR,discards,7E,DREDGE,TUR,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,TUR,NONE,O10T15M,2015,
ENG,discards,7E,DREDGE,TUR,NONE,O10T15M,2015,
ENG,discards,7E,DEM_SEINE,TUR,NONE,U10M,2015,
FRA,discards,7E,DEM_SEINE,TUR,NONE,O15M,2015,
ENG,discards,7E,DEM_SEINE,TUR,NONE,O15M,2015,
BEL,discards,7E,DEM_SEINE,TUR,NONE,O15M,2015,
ENG,discards,7E,BEAM,TUR,NONE,U10M,2015,
FRA,discards,7E,3B,TUR,NONE,U10M,2015,
ENG,discards,7E,3B,TUR,NONE,U10M,2015,
FRA,discards,7E,3B,TUR,NONE,O15M,2015,
ENG,discards,7E,3B,TUR,NONE,O15M,2015,
FRA,discards,7E,3B,TUR,NONE,O10T15M,2015,
ENG,discards,7E,3B,TUR,NONE,O10T15M,2015,
FRA,discards,7E,3A,TUR,NONE,O15M,2015,0
ENG,discards,7E,3A,TUR,NONE,O15M,2015,0
BEL,discards,7E,3A,TUR,NONE,O15M,2015,0
FRA,discards,7E,3A,TUR,NONE,O10T15M,2015,0
ENG,discards,7E,3A,TUR,NONE,O10T15M,2015,0
FRA,discards,7E,POTS,TTR,NONE,U10M,2015,
FRA,discards,7E,3B,TTR,NONE,O10T15M,2015,
ENG,discards,7E,3A,TTR,NONE,O15M,2015,3.893
ENG,discards,7E,3B,TRS,NONE,U10M,2015,
FRA,discards,7E,POTS,TRI,NONE,U10M,2015,
ENG,discards,7E,POTS,TRI,NONE,U10M,2015,
ENG,discards,7E,OTTER,TRI,NONE,U10M,2015,
ENG,discards,7E,OTTER,TRI,NONE,O10T15M,2015,
FRA,discards,7E,3B,TRI,NONE,U10M,2015,
ENG,discards,7E,3B,TRI,NONE,U10M,2015,
FRA,discards,7E,3B,TRI,NONE,O10T15M,2015,
ENG,discards,7E,3A,TRI,NONE,O15M,2015,
