country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
FRA,discards,8A-BOB,OTTER,WHG,NONE,O10T15M,2015,337.362944
FRA,discards,8A-BOB,NONE,WHG,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,NONE,WHG,NONE,U10M,2015,
FRA,discards,8A-BOB,NONE,WHG,NONE,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,WHG,SBCIIIART5,U10M,2015,0.003218
FRA,discards,8A-BOB,LONGLINE,WHG,SBCIIIART5,O15M,2015,2.246
FRA,discards,8A-BOB,LONGLINE,WHG,SBCIIIART5,O10T15M,2015,0.952908
FRA,discards,8A-BOB,LONGLINE,WHG,NONE,U10M,2015,11.940633
FRA,discards,8A-BOB,LONGLINE,WHG,NONE,O15M,2015,0.114
ESP,discards,8A-BOB,LONGLINE,WHG,NONE,O15M,2015,
FRA,discards,8A-BOB,LONGLINE,WHG,NONE,O10T15M,2015,15.032162
FRA,discards,8A-BOB,GILL,WHG,SBCIIIART5,U10M,2015,0
FRA,discards,8A-BOB,GILL,WHG,SBCIIIART5,O15M,2015,0.362
FRA,discards,8A-BOB,GILL,WHG,SBCIIIART5,O10T15M,2015,0.55406
FRA,discards,8A-BOB,GILL,WHG,NONE,U10M,2015,0.73321
FRA,discards,8A-BOB,GILL,WHG,NONE,O15M,2015,0.096006
FRA,discards,8A-BOB,GILL,WHG,NONE,O10T15M,2015,0.3448
FRA,discards,8A-BOB,DREDGE,WHG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,DREDGE,WHG,NONE,U10M,2015,
FRA,discards,8A-BOB,DREDGE,WHG,NONE,O10T15M,2015,
FRA,discards,8A-BOB,DEM_SEINE,WHG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,DEM_SEINE,WHG,NONE,O15M,2015,
BEL,discards,8A-BOB,BEAM,WHG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,POTS,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,POTS,WHE,NONE,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,OTTER,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,WHE,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,WHE,NONE,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,GILL,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,DREDGE,WHE,NONE,U10M,2015,
FRA,discards,8B-BOB,DREDGE,WHE,NONE,O10T15M,2015,
BEL,discards,8B-BOB,BEAM,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WHE,NONE,U10M,2015,
FRA,discards,8A-BOB,TRAMMEL,WHE,NONE,O10T15M,2015,
FRA,discards,8A-BOB,POTS,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,POTS,WHE,NONE,U10M,2015,
FRA,discards,8A-BOB,POTS,WHE,NONE,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WHE,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,OTTER,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WHE,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,WHE,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WHE,NONE,O10T15M,2015,
FRA,discards,8A-BOB,NONE,WHE,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,LONGLINE,WHE,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,WHE,NONE,O10T15M,2015,
FRA,discards,8A-BOB,GILL,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,DREDGE,WHE,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,DREDGE,WHE,NONE,U10M,2015,
FRA,discards,8A-BOB,DREDGE,WHE,NONE,O10T15M,2015,
BEL,discards,8A-BOB,BEAM,WHE,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,PEL_TRAWL,WHB,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,WHB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,OTTER,WHB,SBCIIIART5,O10T15M,2015,
ESP,discards,8B-BOB,OTTER,WHB,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,WHB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,NONE,WHB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WHB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WHB,NONE,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,WHB,NONE,O10T15M,2015,
ESP,discards,8B-BOB,LONGLINE,WHB,NONE,O10T15M,2015,
ESP,discards,8B-BOB,GILL,WHB,NONE,O15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,WHB,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WHB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WHB,NONE,U10M,2015,
ESP,discards,8A-BOB,OTTER,WHB,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WHB,NONE,O10T15M,2015,0.495
FRA,discards,8A-BOB,LONGLINE,WHB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,WHB,NONE,O15M,2015,
FRA,discards,8A-BOB,DREDGE,WHB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WEG,SBCIIIART5,U10M,2015,
FRA,discards,8B-BOB,TRAMMEL,WEG,SBCIIIART5,O15M,2015,
